transaction_id,account_number,amount,transaction_type,transaction_mode,description,transaction_date
TXN000047,ACC00000003,100301.81,Credit,NEFT,Salary Credit,2024-10-23 03:03:52
TXN000048,ACC00000003,32343.94,Debit,UPI,Online Shopping,2025-04-09 20:05:23
TXN000049,ACC00000003,18987.75,Credit,Cash,Cash Deposit,2026-04-25 21:15:01
TXN000050,ACC00000003,6375.3,Credit,UPI,Refund,2024-10-15 04:25:11
TXN000051,ACC00000003,9664.66,Credit,UPI,Refund,2025-03-24 16:18:14
TXN000052,ACC00000003,18735.84,Debit,UPI,Grocery,2025-01-12 19:33:21
TXN000053,ACC00000003,896.39,Credit,NEFT,Interest Credit,2025-08-08 15:44:23
TXN000054,ACC00000003,8850.86,Debit,UPI,Utility Bill Payment,2026-06-01 22:20:31
TXN000055,ACC00000003,4991.97,Debit,UPI,Utility Bill Payment,2025-08-31 08:40:30
TXN000056,ACC00000003,5317.32,Debit,UPI,Grocery,2025-09-15 10:01:51
TXN000057,ACC00000003,4654.36,Credit,UPI,Refund,2024-11-21 05:16:15
TXN000058,ACC00000003,18653.96,Credit,Cash,Cash Deposit,2024-10-29 11:20:27
TXN000059,ACC00000003,6134.3,Debit,UPI,Utility Bill Payment,2025-09-23 14:17:11
TXN000060,ACC00000003,4752.0,Debit,UPI,Restaurant Payment,2025-10-30 14:10:48
TXN000061,ACC00000004,4985.12,Debit,ATM,ATM Withdrawal,2024-11-05 00:59:40
TXN000062,ACC00000004,18120.51,Debit,UPI,Restaurant Payment,2024-08-19 03:37:48
TXN000063,ACC00000004,40913.67,Credit,Cash,Cash Deposit,2025-02-19 05:10:03
TXN000064,ACC00000004,16475.15,Debit,UPI,Restaurant Payment,2025-07-19 04:29:37
TXN000065,ACC00000004,2184.49,Debit,UPI,Grocery,2026-05-20 21:57:46
TXN000066,ACC00000004,42512.17,Debit,UPI,Online Shopping,2025-09-16 06:04:43
TXN000067,ACC00000004,57880.92,Debit,NEFT,Investment in Mutual Funds,2025-02-23 19:51:02
TXN000068,ACC00000004,72122.01,Debit,NEFT,Investment in Mutual Funds,2025-12-28 19:11:24
TXN000069,ACC00000004,75600.2,Credit,NEFT,Salary Credit,2026-01-25 00:53:25
TXN000070,ACC00000004,44312.16,Debit,UPI,Online Shopping,2024-08-31 18:35:24
TXN000071,ACC00000004,1701.04,Credit,NEFT,Interest Credit,2025-01-30 12:33:58
TXN000072,ACC00000004,12816.77,Debit,UPI,Grocery,2026-06-10 22:02:29
TXN000073,ACC00000004,4352.74,Debit,UPI,Grocery,2024-10-17 16:32:32
TXN000074,ACC00000004,60857.11,Debit,NEFT,Loan EMI Payment,2025-03-12 17:59:59
TXN000075,ACC00000004,1236.26,Debit,UPI,Utility Bill Payment,2026-01-11 13:40:44
TXN000076,ACC00000004,18208.44,Debit,UPI,Online Shopping,2024-09-21 02:58:58
TXN000077,ACC00000004,40259.02,Debit,NEFT,Insurance Premium Payment,2026-03-13 19:46:08
TXN000078,ACC00000004,20977.06,Debit,ATM,ATM Withdrawal,2025-08-14 06:08:09
TXN000079,ACC00000004,4923.82,Debit,ATM,ATM Withdrawal,2025-08-30 22:32:22
TXN000080,ACC00000004,15299.74,Debit,UPI,Restaurant Payment,2026-04-03 18:45:08
TXN000081,ACC00000004,83941.74,Credit,NEFT,Salary Credit,2025-10-29 06:27:42
TXN000082,ACC00000004,6082.98,Credit,UPI,Refund,2025-02-17 10:22:31
TXN000083,ACC00000004,36935.04,Debit,ATM,ATM Withdrawal,2026-03-01 23:58:25
TXN000084,ACC00000004,25190.33,Debit,UPI,Online Shopping,2026-02-22 23:01:37
TXN000085,ACC00000004,812.11,Credit,NEFT,Interest Credit,2025-12-09 19:30:21
TXN000086,ACC00000004,148925.04,Credit,NEFT,Salary Credit,2025-04-30 07:48:41
TXN000087,ACC00000004,141521.35,Credit,NEFT,Salary Credit,2024-08-01 18:58:44
TXN000088,ACC00000004,56174.45,Debit,NEFT,Loan EMI Payment,2025-08-23 05:52:00
TXN000089,ACC00000004,3617.1,Credit,UPI,Refund,2025-01-17 04:44:22
TXN000090,ACC00000004,13808.35,Credit,Cash,Cash Deposit,2025-11-19 20:50:23
TXN000091,ACC00000004,7062.59,Credit,UPI,Refund,2025-08-03 22:48:40
TXN000092,ACC00000004,75891.36,Debit,NEFT,Loan EMI Payment,2025-07-09 19:59:10
TXN000093,ACC00000004,11685.67,Debit,UPI,Grocery,2026-05-15 11:33:25
TXN000094,ACC00000004,10542.44,Debit,UPI,Grocery,2025-04-21 21:29:31
TXN000095,ACC00000004,10464.35,Debit,ATM,ATM Withdrawal,2024-11-22 23:47:38
TXN000096,ACC00000004,17910.06,Credit,Cash,Cash Deposit,2025-03-14 14:57:14
TXN000097,ACC00000004,96429.49,Credit,NEFT,Salary Credit,2024-10-09 10:32:09
TXN000098,ACC00000004,24728.79,Credit,Cash,Cash Deposit,2025-02-17 02:02:41
TXN000099,ACC00000004,9508.49,Debit,UPI,Grocery,2025-08-01 19:25:25
TXN000100,ACC00000004,1903.12,Debit,ATM,ATM Withdrawal,2024-12-04 21:12:16
TXN000101,ACC00000004,50718.54,Debit,NEFT,Investment in Mutual Funds,2024-12-11 01:43:03
TXN000102,ACC00000004,5199.25,Debit,UPI,Grocery,2024-12-28 11:16:38
TXN000103,ACC00000004,2896.79,Debit,UPI,Utility Bill Payment,2025-02-28 22:51:32
TXN000104,ACC00000004,1737.6,Credit,NEFT,Interest Credit,2026-05-09 14:12:36
TXN000105,ACC00000004,26577.43,Debit,UPI,Online Shopping,2025-07-01 05:39:19
TXN000106,ACC00000004,10126.44,Debit,UPI,Online Shopping,2024-12-10 05:59:42
TXN000107,ACC00000004,22462.38,Debit,UPI,Online Shopping,2025-06-09 00:25:03
TXN000108,ACC00000004,1128.3,Debit,UPI,Grocery,2025-11-06 15:37:14
TXN000109,ACC00000004,6519.08,Credit,UPI,Refund,2024-09-04 00:05:44
TXN000110,ACC00000004,49469.4,Debit,ATM,ATM Withdrawal,2026-01-21 18:22:57
TXN000111,ACC00000005,27272.08,Debit,ATM,ATM Withdrawal,2025-09-02 01:16:42
TXN000112,ACC00000005,47154.84,Debit,ATM,ATM Withdrawal,2026-02-16 19:16:56
TXN000113,ACC00000005,4224.32,Credit,NEFT,Interest Credit,2026-04-20 22:59:46
TXN000114,ACC00000005,5015.52,Debit,ATM,ATM Withdrawal,2024-12-02 06:19:09
TXN000115,ACC00000005,6520.97,Debit,UPI,Utility Bill Payment,2025-12-24 01:40:20
TXN000116,ACC00000005,19628.73,Debit,UPI,Grocery,2025-07-02 01:34:02
TXN000117,ACC00000005,18922.72,Debit,UPI,Restaurant Payment,2025-10-21 11:40:27
TXN000118,ACC00000005,46539.47,Debit,UPI,Online Shopping,2026-03-22 16:54:18
TXN000119,ACC00000005,1076.07,Debit,UPI,Grocery,2025-10-11 08:46:57
TXN000120,ACC00000005,12757.78,Debit,NEFT,Insurance Premium Payment,2025-12-12 09:09:17
TXN000121,ACC00000005,4716.13,Credit,UPI,Refund,2025-07-29 01:53:15
TXN000122,ACC00000005,52043.69,Debit,NEFT,Investment in Mutual Funds,2026-06-09 08:03:11
TXN000123,ACC00000005,1755.64,Debit,UPI,Online Shopping,2025-04-21 02:17:59
TXN000124,ACC00000005,98595.63,Debit,NEFT,Loan EMI Payment,2026-05-16 04:28:49
TXN000125,ACC00000005,15569.29,Credit,Cash,Cash Deposit,2025-07-28 00:55:34
TXN000126,ACC00000005,4832.7,Debit,UPI,Grocery,2025-04-25 01:10:22
TXN000127,ACC00000005,958.08,Credit,UPI,Refund,2025-05-06 23:06:42
TXN000128,ACC00000005,9904.99,Credit,UPI,Refund,2024-08-26 09:09:16
TXN000129,ACC00000005,8428.04,Credit,Cash,Cash Deposit,2026-06-25 15:30:33
TXN000130,ACC00000005,38086.47,Debit,NEFT,Loan EMI Payment,2025-07-24 10:26:06
TXN000131,ACC00000005,18967.34,Debit,UPI,Grocery,2025-05-19 18:34:25
TXN000132,ACC00000005,124623.05,Credit,NEFT,Salary Credit,2025-12-24 06:55:21
TXN000133,ACC00000005,22154.13,Debit,NEFT,Investment in Mutual Funds,2026-01-26 17:02:05
TXN000134,ACC00000005,46499.69,Credit,NEFT,Salary Credit,2026-01-29 17:03:57
TXN000135,ACC00000005,17921.7,Debit,ATM,ATM Withdrawal,2025-02-15 22:05:59
TXN000136,ACC00000006,46107.24,Debit,ATM,ATM Withdrawal,2025-04-24 05:36:13
TXN000137,ACC00000006,8687.93,Debit,UPI,Utility Bill Payment,2024-11-24 08:25:48
TXN000138,ACC00000006,24507.78,Debit,ATM,ATM Withdrawal,2024-11-19 06:07:43
TXN000139,ACC00000006,2494.23,Credit,UPI,Refund,2026-03-25 15:36:39
TXN000140,ACC00000006,2149.92,Credit,UPI,Refund,2026-07-17 12:08:13
TXN000141,ACC00000006,47155.64,Debit,ATM,ATM Withdrawal,2026-02-21 16:25:15
TXN000142,ACC00000006,6391.5,Debit,UPI,Restaurant Payment,2024-09-19 17:31:51
TXN000143,ACC00000006,2996.57,Debit,UPI,Utility Bill Payment,2026-02-10 22:30:56
TXN000144,ACC00000006,9144.32,Credit,UPI,Refund,2025-07-26 11:21:43
TXN000145,ACC00000006,18721.51,Debit,NEFT,Insurance Premium Payment,2024-11-30 08:58:55
TXN000146,ACC00000006,45695.32,Debit,ATM,ATM Withdrawal,2024-08-02 16:56:52
TXN000147,ACC00000006,12396.14,Debit,UPI,Restaurant Payment,2025-11-04 11:44:00
TXN000148,ACC00000006,2267.89,Debit,UPI,Restaurant Payment,2025-07-19 15:40:38
TXN000149,ACC00000006,48520.63,Debit,UPI,Online Shopping,2025-05-29 21:04:38
TXN000150,ACC00000006,24454.13,Debit,ATM,ATM Withdrawal,2026-02-15 19:55:23
TXN000151,ACC00000006,5826.93,Debit,UPI,Grocery,2025-03-07 09:24:24
TXN000152,ACC00000006,9676.87,Credit,Cash,Cash Deposit,2026-03-12 12:20:32
TXN000153,ACC00000006,18253.3,Debit,UPI,Grocery,2026-06-08 12:43:35
TXN000154,ACC00000006,26182.55,Credit,Cash,Cash Deposit,2024-10-20 12:46:30
TXN000155,ACC00000006,3575.54,Debit,ATM,ATM Withdrawal,2025-07-27 01:15:47
TXN000156,ACC00000006,34513.23,Debit,NEFT,Loan EMI Payment,2024-08-09 08:46:34
TXN000157,ACC00000006,21184.92,Debit,UPI,Online Shopping,2025-12-30 20:18:50
TXN000158,ACC00000006,47533.94,Debit,NEFT,Loan EMI Payment,2025-05-06 02:57:53
TXN000159,ACC00000006,5144.07,Debit,ATM,ATM Withdrawal,2026-02-23 00:37:05
TXN000160,ACC00000006,5307.76,Debit,NEFT,Investment in Mutual Funds,2026-03-02 14:21:47
TXN000161,ACC00000007,129249.16,Credit,NEFT,Salary Credit,2024-08-20 17:11:06
TXN000162,ACC00000007,21213.17,Debit,ATM,ATM Withdrawal,2025-04-06 18:00:48
TXN000163,ACC00000007,22240.71,Credit,Cash,Cash Deposit,2025-12-11 21:37:46
TXN000164,ACC00000007,57323.47,Credit,NEFT,Salary Credit,2026-07-03 23:20:25
TXN000165,ACC00000007,41406.78,Credit,NEFT,Salary Credit,2025-04-01 23:39:08
TXN000166,ACC00000007,148102.99,Credit,NEFT,Salary Credit,2025-12-20 19:15:12
TXN000167,ACC00000007,2869.88,Debit,UPI,Utility Bill Payment,2025-03-11 04:51:29
TXN000168,ACC00000007,58411.74,Debit,NEFT,Investment in Mutual Funds,2025-10-19 02:23:30
TXN000169,ACC00000007,17552.72,Debit,ATM,ATM Withdrawal,2025-05-16 02:10:04
TXN000170,ACC00000007,29826.27,Credit,Cash,Cash Deposit,2025-12-06 03:43:19
TXN000171,ACC00000007,3623.72,Credit,NEFT,Interest Credit,2024-11-13 16:39:16
TXN000172,ACC00000007,377.79,Credit,NEFT,Interest Credit,2026-05-06 11:41:07
TXN000173,ACC00000007,8462.17,Debit,UPI,Online Shopping,2026-06-21 19:30:01
TXN000174,ACC00000007,15842.36,Debit,NEFT,Investment in Mutual Funds,2024-09-18 02:53:51
TXN000175,ACC00000007,20373.63,Debit,ATM,ATM Withdrawal,2024-11-11 03:33:00
TXN000176,ACC00000007,5248.26,Debit,UPI,Grocery,2025-08-12 03:12:25
TXN000177,ACC00000007,609.78,Debit,UPI,Online Shopping,2026-02-27 03:39:24
TXN000178,ACC00000007,42133.01,Debit,ATM,ATM Withdrawal,2025-10-24 09:22:34
TXN000179,ACC00000007,3214.19,Debit,UPI,Online Shopping,2025-01-28 01:02:34
TXN000180,ACC00000007,128957.86,Credit,NEFT,Salary Credit,2026-01-29 16:31:10
TXN000181,ACC00000007,3464.48,Debit,UPI,Grocery,2024-09-10 02:20:29
TXN000182,ACC00000007,86513.43,Credit,NEFT,Salary Credit,2025-08-25 21:17:52
TXN000183,ACC00000007,9230.43,Debit,ATM,ATM Withdrawal,2026-07-23 20:17:16
TXN000184,ACC00000007,6297.28,Debit,UPI,Utility Bill Payment,2026-02-04 17:50:27
TXN000185,ACC00000007,54922.68,Debit,NEFT,Investment in Mutual Funds,2026-07-06 02:51:05
TXN000186,ACC00000007,58411.67,Credit,NEFT,Salary Credit,2026-03-18 03:17:31
TXN000187,ACC00000007,2220.04,Debit,UPI,Utility Bill Payment,2025-04-15 14:04:18
TXN000188,ACC00000007,7655.14,Debit,ATM,ATM Withdrawal,2025-12-21 18:31:43
TXN000189,ACC00000007,3476.82,Credit,NEFT,Interest Credit,2026-07-23 06:31:35
TXN000190,ACC00000007,38294.32,Debit,NEFT,Loan EMI Payment,2026-07-14 18:05:15
TXN000191,ACC00000007,9530.4,Debit,UPI,Restaurant Payment,2026-02-14 22:04:12
TXN000192,ACC00000007,5373.38,Debit,UPI,Grocery,2024-11-09 13:07:44
TXN000193,ACC00000007,4579.11,Credit,NEFT,Interest Credit,2026-01-28 03:51:15
TXN000194,ACC00000007,7712.18,Debit,UPI,Utility Bill Payment,2026-04-26 12:12:56
TXN000195,ACC00000007,731.81,Debit,UPI,Utility Bill Payment,2024-10-27 09:40:36
TXN000196,ACC00000007,4456.49,Credit,NEFT,Interest Credit,2026-02-08 23:36:05
TXN000197,ACC00000007,7300.69,Debit,ATM,ATM Withdrawal,2024-11-23 22:50:02
TXN000198,ACC00000007,3797.25,Credit,NEFT,Interest Credit,2024-08-21 03:54:03
TXN000199,ACC00000007,14694.89,Debit,UPI,Grocery,2025-06-13 09:44:28
TXN000200,ACC00000007,7655.32,Credit,UPI,Refund,2026-05-21 22:40:56
TXN000201,ACC00000007,31883.86,Debit,UPI,Online Shopping,2026-03-19 17:24:13
TXN000202,ACC00000007,98144.02,Debit,NEFT,Investment in Mutual Funds,2025-11-22 10:44:12
TXN000203,ACC00000007,3542.4,Credit,NEFT,Interest Credit,2026-06-25 16:10:25
TXN000204,ACC00000007,1212.39,Credit,NEFT,Interest Credit,2024-12-18 02:00:04
TXN000205,ACC00000007,8720.74,Credit,UPI,Refund,2026-06-28 08:00:46
TXN000206,ACC00000007,41527.43,Debit,UPI,Online Shopping,2025-01-30 11:35:55
TXN000207,ACC00000007,2906.36,Credit,NEFT,Interest Credit,2026-06-09 07:58:14
TXN000208,ACC00000007,20689.27,Credit,Cash,Cash Deposit,2025-03-27 11:26:24
TXN000209,ACC00000007,948.06,Debit,UPI,Online Shopping,2025-08-30 10:14:54
TXN000210,ACC00000007,2596.96,Debit,UPI,Grocery,2026-01-20 09:18:43
TXN000211,ACC00000008,94624.04,Credit,NEFT,Salary Credit,2025-10-12 10:18:35
TXN000212,ACC00000008,2594.23,Debit,UPI,Grocery,2024-09-23 04:16:30
TXN000213,ACC00000008,3451.11,Debit,UPI,Utility Bill Payment,2025-09-15 03:12:40
TXN000214,ACC00000008,15264.99,Debit,UPI,Online Shopping,2024-09-03 19:33:35
TXN000215,ACC00000008,6990.03,Credit,UPI,Refund,2026-07-06 08:31:05
TXN000216,ACC00000008,5515.54,Debit,UPI,Restaurant Payment,2026-01-21 18:36:48
TXN000217,ACC00000008,4181.22,Debit,UPI,Grocery,2025-03-07 09:02:37
TXN000218,ACC00000008,1926.84,Credit,UPI,Refund,2024-12-20 09:18:37
TXN000219,ACC00000008,53608.63,Debit,NEFT,Investment in Mutual Funds,2025-10-24 06:46:34
TXN000220,ACC00000008,31292.42,Debit,NEFT,Loan EMI Payment,2025-02-08 22:42:10
TXN000221,ACC00000008,11159.52,Debit,UPI,Grocery,2025-08-23 06:02:55
TXN000222,ACC00000008,337.26,Credit,UPI,Refund,2026-04-14 18:07:03
TXN000223,ACC00000008,6528.88,Credit,UPI,Refund,2024-07-31 21:32:35
TXN000224,ACC00000008,33848.42,Debit,ATM,ATM Withdrawal,2025-07-02 09:27:57
TXN000225,ACC00000008,1181.21,Credit,UPI,Refund,2025-05-21 13:19:44
TXN000226,ACC00000008,8696.86,Credit,UPI,Refund,2024-08-17 10:41:44
TXN000227,ACC00000008,799.29,Debit,UPI,Restaurant Payment,2026-02-07 07:12:48
TXN000228,ACC00000008,55567.47,Debit,NEFT,Loan EMI Payment,2025-06-02 23:40:30
TXN000229,ACC00000008,7229.03,Credit,UPI,Refund,2025-08-10 19:13:18
TXN000230,ACC00000008,6749.19,Debit,UPI,Utility Bill Payment,2024-11-20 19:11:43
TXN000231,ACC00000008,13987.33,Debit,UPI,Restaurant Payment,2024-12-26 05:30:09
TXN000232,ACC00000008,11766.38,Debit,UPI,Online Shopping,2024-12-05 14:26:38
TXN000233,ACC00000008,30640.03,Debit,NEFT,Insurance Premium Payment,2025-09-14 01:12:39
TXN000234,ACC00000008,6468.41,Credit,UPI,Refund,2026-01-01 06:49:07
TXN000235,ACC00000008,8690.62,Credit,UPI,Refund,2025-07-17 09:29:15
TXN000236,ACC00000008,7767.13,Debit,UPI,Utility Bill Payment,2025-09-21 14:25:54
TXN000237,ACC00000008,2750.26,Debit,UPI,Utility Bill Payment,2024-11-24 01:45:56
TXN000238,ACC00000008,6796.82,Credit,UPI,Refund,2025-10-06 02:41:39
TXN000239,ACC00000008,31412.13,Debit,NEFT,Insurance Premium Payment,2024-07-28 17:40:42
TXN000240,ACC00000008,15650.51,Debit,NEFT,Investment in Mutual Funds,2024-11-26 13:46:18
TXN000241,ACC00000008,7416.99,Credit,UPI,Refund,2026-05-29 01:43:11
TXN000242,ACC00000008,23920.38,Debit,ATM,ATM Withdrawal,2025-12-11 15:30:09
TXN000243,ACC00000008,18286.14,Credit,Cash,Cash Deposit,2026-04-25 01:49:06
TXN000244,ACC00000008,125495.04,Credit,NEFT,Salary Credit,2025-11-29 04:43:11
TXN000245,ACC00000008,33040.55,Credit,NEFT,Salary Credit,2025-09-19 11:46:10
TXN000246,ACC00000008,80724.89,Credit,NEFT,Salary Credit,2025-11-14 10:53:53
TXN000247,ACC00000008,46931.41,Debit,ATM,ATM Withdrawal,2026-01-17 12:59:34
TXN000248,ACC00000008,5914.89,Debit,UPI,Restaurant Payment,2025-11-24 10:19:46
TXN000249,ACC00000008,29978.56,Debit,NEFT,Insurance Premium Payment,2024-10-21 08:54:21
TXN000250,ACC00000008,83495.02,Debit,NEFT,Loan EMI Payment,2025-09-08 20:26:39
TXN000251,ACC00000008,3597.81,Debit,ATM,ATM Withdrawal,2024-12-18 08:26:38
TXN000252,ACC00000008,7098.37,Credit,UPI,Refund,2026-03-25 09:42:33
TXN000253,ACC00000008,26856.64,Debit,NEFT,Insurance Premium Payment,2025-08-26 22:35:06
TXN000254,ACC00000008,11454.67,Debit,NEFT,Investment in Mutual Funds,2024-11-12 07:46:51
TXN000255,ACC00000008,113245.0,Credit,NEFT,Salary Credit,2024-10-15 01:46:37
TXN000256,ACC00000008,49946.26,Debit,NEFT,Insurance Premium Payment,2025-05-09 21:18:53
TXN000257,ACC00000008,5595.69,Debit,NEFT,Loan EMI Payment,2024-11-01 15:16:55
TXN000258,ACC00000008,34613.72,Credit,Cash,Cash Deposit,2025-05-08 18:52:40
TXN000259,ACC00000008,2819.65,Credit,NEFT,Interest Credit,2024-10-15 14:33:04
TXN000260,ACC00000008,10598.76,Debit,UPI,Online Shopping,2025-04-25 21:13:44
TXN000261,ACC00000009,47389.67,Debit,NEFT,Insurance Premium Payment,2024-08-28 15:35:33
TXN000262,ACC00000009,44989.69,Debit,NEFT,Insurance Premium Payment,2026-05-03 18:53:37
TXN000263,ACC00000009,1819.66,Debit,UPI,Utility Bill Payment,2026-03-25 06:43:25
TXN000264,ACC00000009,3286.05,Credit,NEFT,Interest Credit,2026-04-30 16:40:42
TXN000265,ACC00000009,6562.31,Credit,UPI,Refund,2026-04-29 07:22:48
TXN000266,ACC00000009,7041.71,Debit,NEFT,Loan EMI Payment,2026-05-29 01:43:01
TXN000267,ACC00000009,1648.92,Credit,NEFT,Interest Credit,2026-06-29 15:37:06
TXN000268,ACC00000009,33962.1,Debit,ATM,ATM Withdrawal,2025-08-17 04:00:41
TXN000269,ACC00000009,128118.61,Credit,NEFT,Salary Credit,2026-01-14 18:02:03
TXN000270,ACC00000009,5979.82,Credit,UPI,Refund,2025-08-03 21:10:23
TXN000271,ACC00000010,4352.78,Credit,NEFT,Interest Credit,2025-06-08 19:23:14
TXN000272,ACC00000010,3980.26,Credit,NEFT,Interest Credit,2024-12-27 07:01:07
TXN000273,ACC00000010,34666.3,Credit,NEFT,Salary Credit,2026-02-25 09:02:17
TXN000274,ACC00000010,36347.97,Debit,UPI,Online Shopping,2026-05-11 02:36:09
TXN000275,ACC00000010,6652.65,Debit,UPI,Restaurant Payment,2026-07-08 12:02:23
TXN000276,ACC00000010,44122.88,Debit,NEFT,Insurance Premium Payment,2025-11-27 12:26:55
TXN000277,ACC00000010,9981.99,Debit,UPI,Utility Bill Payment,2026-04-16 23:41:48
TXN000278,ACC00000010,9703.28,Debit,UPI,Utility Bill Payment,2026-01-26 23:17:02
TXN000279,ACC00000010,21008.03,Debit,NEFT,Insurance Premium Payment,2025-09-27 05:40:26
TXN000280,ACC00000010,88965.82,Debit,NEFT,Investment in Mutual Funds,2024-11-26 15:03:24
TXN000281,ACC00000010,23933.85,Debit,NEFT,Loan EMI Payment,2025-01-03 02:50:22
TXN000282,ACC00000010,5867.59,Credit,UPI,Refund,2025-04-27 22:17:12
TXN000283,ACC00000010,19644.75,Debit,UPI,Online Shopping,2025-08-25 13:18:34
TXN000284,ACC00000010,36723.02,Debit,NEFT,Insurance Premium Payment,2025-03-27 07:58:29
TXN000285,ACC00000010,4696.03,Credit,NEFT,Interest Credit,2026-04-23 20:37:03
TXN000286,ACC00000010,3957.09,Credit,NEFT,Interest Credit,2025-02-14 06:47:26
TXN000287,ACC00000010,25480.63,Credit,Cash,Cash Deposit,2026-01-08 17:13:14
TXN000288,ACC00000010,19199.65,Debit,UPI,Restaurant Payment,2025-03-07 12:35:27
TXN000289,ACC00000010,3158.1,Credit,NEFT,Interest Credit,2025-12-27 11:39:41
TXN000290,ACC00000010,96377.8,Credit,NEFT,Salary Credit,2025-08-21 04:45:15
TXN000291,ACC00000010,8534.97,Debit,UPI,Restaurant Payment,2024-12-13 22:56:23
TXN000292,ACC00000010,48665.86,Debit,NEFT,Investment in Mutual Funds,2025-03-29 21:34:55
TXN000293,ACC00000010,1959.01,Debit,UPI,Utility Bill Payment,2025-02-21 23:59:48
