customer_id,customer_name,total_accounts,total_balance,total_transactions,total_credit_amount,total_debit_amount
CUST000202,Tanvi Bose,1,1762356.24,10,40073.38,205181.18
CUST000203,Chanakya Palla,1,81900.65,10,70592.87000000001,115323.22
CUST000205,Nikita Talwar,1,582856.13,10,13547.619999999999,120871.34999999999
CUST000206,Devika Chandran,2,2899735.96,75,504560.12,1286752.98
CUST000207,Bimala Kapoor,1,1607198.59,50,647989.38,833561.51
CUST000208,Kevin Dara,1,2404549.46,25,275974.48000000004,379982.78
CUST000209,Jagat Nigam,1,1732170.56,50,319428.55,894309.59
CUST000210,Yochana Dewan,1,2612703.39,10,329349.63,166647.05
CUST000211,Chatresh Bath,2,6795585.37,50,528122.53,702914.43
CUST000212,Shivansh Bhatnagar,0,0.0,0,0.0,0.0
CUST000213,Joshua Mistry,2,5587774.82,35,451634.58,577238.81
CUST000214,Udyati Walia,1,1546635.56,10,86406.25,239193.58000000002
CUST000215,Yutika Patla,2,5109052.57,60,918281.62,790645.34
CUST000216,Manthan Tak,1,346622.35,25,135506.36000000002,405580.74000000005
CUST000217,Nisha Sodhi,1,2954923.6,25,355513.23000000004,395565.75
CUST000218,Tejas Kaul,0,0.0,0,0.0,0.0
CUST000219,Baghyawati Mukherjee,2,2476908.79,35,718794.79,419106.61
CUST000220,Inaya Thakur,3,3740076.41,85,1012927.1000000001,1205002.69
CUST000221,Qushi Sachdev,2,2016522.61,35,388086.76,493371.45999999996
CUST000222,Yutika Deo,2,3428333.5,50,322168.45999999996,863649.26
CUST000223,Tejas Sridhar,2,3072465.59,50,444188.94,826262.4
CUST000224,Ekbal Biswas,0,0.0,0,0.0,0.0
CUST000225,Lila Chaudhry,2,2207350.62,75,1024128.98,1124100.96
CUST000226,Advik Peri,1,115625.61,10,528.68,376495.98000000004
CUST000227,Qasim Devi,1,1927517.6,25,138777.35,367976.86
CUST000228,Mohini Zachariah,2,418310.31,75,743707.77,1019527.59
CUST000229,Oscar Ganguly,1,167558.8,25,822279.91,316058.3
CUST000230,Kavya Bhargava,1,2062507.7,25,268934.46,383847.52
CUST000231,Chatresh Singh,1,498802.15,50,283808.37,999459.05
CUST000232,Mekhala Bose,2,929798.32,75,910122.0700000001,1134230.7
CUST000233,Kashish Bala,2,1934424.39,100,723219.9400000001,1894758.82
CUST000234,Samuel Majumdar,2,2002772.88,75,1197245.65,1168032.82
CUST000235,Anvi Deshmukh,2,6589662.8,100,1136308.77,1263757.41
CUST000236,Chasmum Ratti,1,2965447.14,50,948495.54,814832.55
CUST000237,Bina Lal,2,4319080.66,60,612465.0599999999,666443.89
CUST000238,Manbir Singhal,1,2297120.95,25,72330.94,503208.15
CUST000239,Nisha Upadhyay,1,816094.07,10,11073.89,143883.41
CUST000241,Jeevika Krishnan,1,36679.39,10,28025.73,245329.64
CUST000242,Abha Contractor,1,663414.79,10,63105.45,150609.38
CUST000243,Ethan Munshi,2,4417632.53,75,1034172.48,1172861.94
CUST000244,Aryan Modi,1,1737133.88,50,600268.13,600192.84
CUST000245,Bhavya Agate,2,2569914.25,75,953302.31,1170236.26
CUST000247,Bachittar Krishna,0,0.0,0,0.0,0.0
CUST000248,Adya Kothari,2,372095.21,60,718173.52,1010981.4
CUST000249,Udyati Chokshi,1,283486.98,25,140811.12,286727.04000000004
CUST000250,Gavin Salvi,1,255151.33,25,182935.01,310247.47
CUST000251,Vasatika Master,1,430229.47,25,168888.32,317741.59
CUST000252,Oviya Dhingra,1,4952872.04,25,333145.77,382580.37
CUST000253,Panini Yogi,2,551955.45,75,816162.9,976520.19
CUST000254,Neel Varty,0,0.0,0,0.0,0.0
CUST000256,Ranbir Nagar,1,1280099.88,25,48879.05,591344.25
CUST000257,George Mallick,1,1745921.37,10,116090.45999999999,113417.65
CUST000258,Utkarsh Dua,0,0.0,0,0.0,0.0
CUST000259,Mason Desai,2,4574309.56,75,1007149.59,851534.03
CUST000260,Urmi Nagarajan,1,81815.51,25,450929.0,324142.92
CUST000261,Yug Wali,3,3688287.59,100,1500339.37,1355584.74
CUST000262,Warda Patel,0,0.0,0,0.0,0.0
CUST000263,Ekanta Patla,1,1653620.68,50,631607.45,681797.44
CUST000264,Falguni Kashyap,1,1941510.2,25,56921.600000000006,524535.12
CUST000265,Quincy Patla,2,3365525.2699999996,100,749474.29,1585407.5999999999
CUST000266,Krishna Srinivas,1,4335061.25,50,509025.15,908281.83
CUST000267,Rachit Murty,3,3573379.4299999997,60,701347.42,1152294.76
CUST000268,Reva Hayer,1,1354427.57,25,105311.71999999999,444799.59
CUST000269,Christopher Wason,2,2023841.4100000001,35,278244.79,620061.59
CUST000270,Lakshmi Venkatesh,3,4144004.03,60,379320.83,828994.64
CUST000271,Kritika Chand,0,0.0,0,0.0,0.0
CUST000272,Arunima Som,2,2081193.0899999999,35,561979.4,606069.04
CUST000273,Edhitha Panchal,2,1673880.31,50,587852.52,736262.59
CUST000274,Riya Sibal,1,1131093.92,10,65026.369999999995,299462.86
CUST000275,Sai Anand,3,1048770.1600000001,85,1157386.76,1570977.15
CUST000276,Ekani Agate,1,329730.88,50,499220.04000000004,610858.88
CUST000279,Vinaya Lala,1,204497.95,50,565416.03,1012059.13
CUST000280,Faraj Bhalla,1,3294739.81,25,290916.86,303335.52
CUST000281,Udant Kalita,1,1771522.08,50,382271.98,1118284.54
CUST000282,Ranveer Hora,1,311383.08,25,329980.73,199661.89
CUST000283,Tara Oza,2,3517552.8600000003,35,583301.15,585524.86
CUST000284,Teerth Dube,1,774782.13,10,290968.16,281501.88
CUST000285,Zansi Devan,2,350722.73,60,944841.55,855741.7000000001
CUST000286,Kiaan Agate,2,2476760.04,75,720275.53,1283742.82
CUST000287,Zaid Shan,2,5565602.67,35,539321.88,590199.22
CUST000288,Chaaya Bajaj,1,1864668.22,50,799553.91,648050.02
CUST000289,Pushti Rau,2,584037.56,60,553503.26,1140890.91
CUST000290,Aadhya Mistry,2,511572.26,35,258846.43,442554.3
CUST000291,Ranbir Virk,1,4773575.46,50,523652.26,709551.85
CUST000292,Chatura Sule,2,598019.83,35,192022.85,726863.3
CUST000293,Pallavi Virk,2,387836.4,60,764725.05,1003938.94
CUST000295,Wahab Pillay,1,342414.69,25,219124.5,570237.95
CUST000296,Libni Kamdar,2,1040277.75,75,461914.22000000003,1577382.12
CUST000297,Deepa Thaker,1,4648394.37,50,467154.52,1019588.37
CUST000298,Teerth Sha,1,750548.18,25,204702.0,418539.18
CUST000299,Varsha Kanda,2,908949.18,75,542098.4,1317136.04
CUST000300,Vamakshi Ahluwalia,1,4740454.46,25,160863.28999999998,338970.29
CUST000301,Geetika Bhargava,1,1491191.49,25,277168.68,243044.78
CUST000302,Anita Ahluwalia,0,0.0,0,0.0,0.0
CUST000303,Abhimanyu Bahri,1,1829223.95,50,292039.61,986678.28
CUST000304,Avni Rastogi,1,4086828.66,25,65154.84,401950.58
CUST000306,Daksh D’Alia,2,840703.48,75,888508.84,1322651.28
CUST000307,Yamini Thaman,2,893422.98,100,684091.31,1996407.59
CUST000308,Jalsa Narain,2,2319088.01,35,466040.11,801178.27
CUST000309,Hema Gara,3,6860560.1,85,744630.58,1713567.64
CUST000310,Sanya Chaudry,2,312044.16,20,291253.96,147199.52
CUST000311,Nihal Randhawa,1,1698528.23,10,19189.29,234275.31
CUST000312,Forum Upadhyay,2,1961133.79,20,56227.54,368606.72
CUST000313,Viraj Minhas,1,473081.83,25,191238.77,419107.54000000004
CUST000314,Siddharth Batta,1,1729480.7,10,118893.18000000001,154115.95
CUST000315,Ishani Tailor,1,1154333.66,25,374565.75,479309.87
CUST000316,Vasana Jani,1,539268.5,25,373698.31,434293.97
CUST000317,Chanchal Bath,1,396866.15,25,440955.72,320947.25
CUST000318,Indali Barad,3,3990272.59,100,661179.13,2283823.48
CUST000319,Theodore Naidu,1,1823749.0,25,78311.88,512000.37
CUST000320,David Buch,1,2576891.63,25,151845.84,329764.54
CUST000321,Dalaja Dey,2,1209953.0,50,315102.76,946770.19
CUST000322,Tripti Pandit,0,0.0,0,0.0,0.0
CUST000323,Azaan Om,1,344523.62,25,274272.9,391493.97000000003
CUST000324,Anirudh Issac,1,1199211.82,25,244898.87,377704.6
CUST000325,Megha Natt,1,632445.33,25,419057.98,299541.47000000003
CUST000326,Vidhi Loyal,3,5678197.36,75,684303.3099999999,1172554.9
CUST000327,Osha Banik,2,1492760.72,75,711031.48,1406913.97
CUST000328,Abha Ram,2,3283190.2800000003,75,817116.09,1129290.28
CUST000329,Dominic Prakash,1,4047604.94,25,143940.22999999998,519973.98
CUST000330,Alexander Sant,1,748531.18,50,505244.45999999996,737225.13
CUST000331,Onveer Sani,2,4360346.9399999995,75,691187.3,963293.5
CUST000332,Warhi Nadig,2,106942.13,100,1420399.9,1281900.24
CUST000333,Urmi Desai,1,442691.8,25,362802.45,721781.28
CUST000334,Manthan Deshmukh,1,1484134.34,10,72132.23,106564.8
CUST000335,Maanav Suresh,1,269483.11,25,476064.81,391121.68
CUST000336,Advika Kapadia,1,970642.05,10,211595.44999999998,188301.57
CUST000337,Daksha Deol,1,76147.92,10,325280.68,65164.020000000004
CUST000338,Om Sodhi,2,686421.94,60,412462.37,1024394.9
CUST000339,Oscar Mani,1,1821426.77,50,472855.87,1240840.57
CUST000340,Reva Date,1,1174783.79,50,242394.75,1197821.09
CUST000341,Faqid Ramakrishnan,1,18032.08,50,307065.18,1011704.01
CUST000342,Yashodhara Ramanathan,1,331923.43,50,462729.11,707623.9
CUST000343,Zarna Raghavan,2,1217847.85,35,386218.55,486232.29
CUST000344,Hiral Rajagopal,2,4787032.58,35,332675.93,407201.64
CUST000345,Fiyaz Jha,1,1617665.67,25,424109.22,501552.34
CUST000346,Bhanumati Bhatnagar,1,649421.42,25,45345.45,317994.57
CUST000347,Abeer Nagar,1,317863.43,50,587131.25,951166.52
CUST000348,Zaid Bhandari,1,225648.36,25,356138.71,413573.70999999996
CUST000350,Neelima Sharma,1,1649397.18,25,127575.91,445956.77999999997
CUST000351,Siya Maharaj,3,7143426.91,110,996279.06,2318104.76
CUST000352,William Saini,1,121749.81,25,209987.25,725207.29
CUST000353,Krisha Hayre,2,527439.85,50,541034.51,775219.05
CUST000354,Banjeet Bandi,0,0.0,0,0.0,0.0
CUST000355,Darpan Jha,3,5765597.6,100,1140704.73,1688439.36
CUST000356,Ria Parsa,1,483048.24,25,691443.02,212010.93
CUST000357,Rohan Natarajan,2,1472357.8,35,739250.77,556073.85
CUST000358,Gavin Savant,1,328330.38,50,847009.24,990335.1
CUST000359,Zashil Khanna,1,1443377.48,25,78563.02,320818.29
CUST000360,Vanya Bahri,2,655579.84,50,581388.37,703573.63
CUST000361,Chakradhar Gara,1,1387087.24,25,90802.49,531458.69
CUST000362,Yochana Shanker,3,6167432.26,100,1297526.92,1470268.91
CUST000363,Wakeeta Bhalla,1,338808.31,25,336063.59,422032.92
CUST000364,Chanakya Korpal,1,1319019.34,25,150116.33,392645.25
CUST000365,Jonathan Ratta,1,887233.52,25,342049.02999999997,602391.2000000001
CUST000366,Daksh Mandal,2,5907277.55,75,730598.77,1048011.16
CUST000367,Advaith Verma,1,2827332.9,25,120703.04000000001,475286.30000000005
CUST000368,Leena Sridhar,0,0.0,0,0.0,0.0
CUST000369,Damyanti Gupta,1,2839250.67,25,365901.81,406158.24
CUST000370,Yashodhara Malhotra,1,2728517.88,10,48672.62,83297.01
CUST000371,Amara Saha,1,1880351.05,25,179163.31,441460.89
CUST000372,Dakshesh Chand,3,6174943.38,75,1124806.21,1021786.92
CUST000373,David Dayal,1,1343937.04,10,95181.47,70068.53
CUST000374,Ayaan Bail,2,552596.22,50,394777.13,977080.22
CUST000375,Raghav Sekhon,0,0.0,0,0.0,0.0
CUST000376,Advaith Kadakia,1,1577033.26,25,369150.88999999996,314164.38
CUST000377,Jatin Varughese,1,186106.07,10,120243.95,102225.15
CUST000378,Warjas Sura,1,440782.73,10,33275.54,231408.76
CUST000379,Max Mukherjee,3,6957392.109999999,75,780482.79,1078150.52
CUST000380,Damini Venkatesh,1,2239012.58,25,200458.75,578679.5
CUST000382,Jagvi Parmer,1,1337798.94,25,216569.49000000002,317654.77
CUST000383,Radhika Shankar,2,3536450.4699999997,60,264733.07,1052934.56
CUST000384,Xalak Jayaraman,1,1664353.98,25,58277.67,638319.47
CUST000385,Nidhi Kibe,1,325486.03,50,482629.47,1022710.87
CUST000386,Sanaya Naidu,1,1250068.83,25,220604.28,609355.92
CUST000387,Yoshita Ben,1,477745.67,10,51890.409999999996,160582.87
CUST000388,Bahadurjit Ganesh,1,4964164.45,25,155591.03,641616.02
CUST000389,Aachal Varkey,2,3471758.26,50,325654.72000000003,934406.96
CUST000390,Qadim Chopra,1,1636710.18,10,239218.94,153789.86
CUST000392,Warinder Balakrishnan,1,279157.86,10,103536.78,187243.41999999998
CUST000393,Triya Om,1,305931.31,50,602079.77,702054.33
CUST000394,Saumya Chana,3,375013.5,75,607246.75,1141524.6
CUST000395,Chanakya Ben,1,987059.05,25,210152.86,367001.56
CUST000396,Samarth Kohli,0,0.0,0,0.0,0.0
CUST000397,Manbir Sant,1,720146.89,50,572208.0,874446.53
CUST000398,Champak Bhavsar,2,4232012.7,35,323233.15,570763.16
CUST000399,Qadim Iyer,1,29267.49,50,700654.34,707972.44
CUST000400,Patrick Ganguly,1,1504318.58,50,743228.54,1139616.78
CUST000401,Netra Loyal,1,237990.35,25,110998.99,385732.16
CUST000402,Ekantika Bansal,1,1372330.14,25,231593.32,447333.34
CUST000403,Brinda Bal,2,1832837.6500000001,75,691744.65,1183733.8
CUST000404,Udyati Din,1,4214163.56,25,375636.68,384311.5
CUST000405,Upma Sahota,1,1369191.07,50,606200.24,761767.62
CUST000406,Qushi Bahl,1,1448236.08,50,847795.14,789789.55
CUST000407,Teerth Dugar,2,3162364.3600000003,100,1014459.23,2023605.56
CUST000408,Yash Bhandari,2,1749463.04,35,631310.78,497370.51
CUST000409,Ronith Dewan,2,211838.45,50,703420.81,520589.12
CUST000410,Aishani Dhawan,3,4788760.71,45,815837.38,672361.63
CUST000411,Ekaraj Kohli,1,24731.13,25,244784.24,540207.63
CUST000412,Ranveer Dyal,3,2187125.64,60,533039.36,1075629.65
CUST000413,Omaja Barad,1,279831.05,25,176282.91999999998,452380.36
CUST000414,Harshil Kala,2,5886721.18,100,748532.57,1939496.92
CUST000415,Ishwar Atwal,2,993101.44,75,533713.29,1710012.72
CUST000416,Ekansh Tandon,1,1842924.37,50,611766.92,748601.11
CUST000417,Priya Menon,1,1832099.21,50,523313.2,734920.51
CUST000418,Mekhala Grover,1,2227224.08,50,764439.27,865058.64
CUST000419,Dalaja Hayre,2,290018.67,50,353370.83,722623.87
CUST000420,Jagdish Ramachandran,1,592786.62,25,439973.76,300055.27
CUST000421,Varsha Barad,1,1013703.37,25,261767.52,543166.18
CUST000422,Yashodhara Dixit,2,3148003.8200000003,75,645708.46,1335954.1099999999
CUST000423,Jackson Banik,2,5932529.220000001,60,1110484.56,1021772.37
