account_number,customer_name,account_type,branch_id,balance,total_transactions,total_credit_amount,total_debit_amount
ACC00000109,,Fixed Deposit,BR015,4807704.93,50,505884.72000000003,526108.41
ACC00000110,Tanvi Ravel,Savings,BR003,64357.69,25,349367.75,335162.76
ACC00000111,Bimala Ramachandran,Current,BR016,1931381.09,50,189792.49,748765.59
ACC00000112,Bimala Ramachandran,Savings,BR014,100561.13,25,279541.69,365852.82
ACC00000113,Bimala Ramachandran,Savings,BR010,467172.6,10,147871.33000000002,249764.4
ACC00000114,Akshay Pall,Savings,BR018,326931.79,50,411798.04,834784.9
ACC00000115,Nathaniel Chowdhury,Fixed Deposit,BR012,4072972.44,10,59361.380000000005,112568.7
ACC00000116,Nathaniel Chowdhury,Savings,BR016,187654.11,10,17167.02,50958.07
ACC00000117,Vasudha Karnik,Savings,BR020,476978.51,25,279910.83,552409.28
ACC00000118,Vasudha Karnik,Current,BR008,335890.08,25,152990.75,423780.94
ACC00000119,,Current,BR019,144906.2,25,541688.47,429074.24
ACC00000120,,Current,BR006,1798851.88,25,395931.46,304521.81
ACC00000121,Zashil Rastogi,Savings,BR001,138377.77,25,225929.04,509122.77
ACC00000122,Sathvik Magar,Fixed Deposit,BR018,1347626.09,10,94448.5,63446.16
ACC00000123,Sathvik Magar,Current,BR016,1963700.41,50,978499.59,784889.06
ACC00000124,Sathvik Magar,Current,BR005,1666792.4,25,340384.25,327738.6
ACC00000125,,Fixed Deposit,BR003,126119.67,50,547317.63,871043.4500000001
ACC00000126,Warjas Murthy,Current,BR013,842757.26,25,339664.08,328233.33999999997
ACC00000127,Warjas Murthy,Current,BR019,1770005.39,50,460105.08,735184.17
ACC00000128,Baljiwan Sule,Savings,BR012,490026.13,10,153720.53,199165.13
ACC00000129,,Savings,BR019,417251.93,10,162664.38,126340.91
ACC00000132,Vincent Jain,Current,BR005,1257625.95,25,275452.49,515211.12
ACC00000133,Nisha Mohanty,Fixed Deposit,BR015,3519853.25,50,360280.43,816332.04
ACC00000134,Nisha Mohanty,Savings,BR006,347219.28,50,746525.26,852231.24
ACC00000135,Nisha Mohanty,Fixed Deposit,BR019,2459848.0,50,421718.36,727004.42
ACC00000136,,Current,BR005,1411535.84,50,531523.15,1107284.69
ACC00000137,,Savings,BR012,150872.62,50,627019.16,639822.56
ACC00000139,Falguni Saha,Fixed Deposit,BR006,2830526.97,10,24220.72,64122.17
ACC00000140,,Current,BR017,1057325.8,50,631079.59,859742.11
ACC00000141,,Fixed Deposit,BR003,2515517.69,25,269183.0,478318.14
ACC00000142,Laksh Talwar,Current,BR006,306564.33,25,210562.38,496586.87
ACC00000143,,Savings,BR020,467653.65,50,636659.86,840877.5
ACC00000144,,Savings,BR007,59232.98,25,296964.74,359216.80000000005
ACC00000145,,Fixed Deposit,BR001,4959111.36,25,205505.72,440110.61
ACC00000146,Amaira Jani,Current,BR015,1740358.7,50,397551.28,1070455.83
ACC00000147,Amaira Jani,Current,BR009,1449123.23,10,41353.00000000001,126588.93
ACC00000148,,Current,BR017,465305.32,50,461731.22,853244.9400000001
ACC00000149,,Current,BR005,1078747.12,10,18199.69,151596.15000000002
ACC00000150,,Fixed Deposit,BR005,619991.55,50,403492.0,979308.09
ACC00000151,,Savings,BR001,162026.0,25,433720.41,294931.20999999996
ACC00000152,David Sastry,Fixed Deposit,BR006,3335428.97,50,473395.36,1128592.37
ACC00000153,Lohit Sundaram,Current,BR006,663828.21,25,42969.61,476637.02
ACC00000155,Rachit Shan,Savings,BR015,296985.84,10,174119.21,128694.37000000001
ACC00000156,,Current,BR010,125273.61,25,161565.38,387335.94
ACC00000157,Kritika Jain,Current,BR001,905834.16,10,123153.02,57539.39
ACC00000158,Kritika Jain,Fixed Deposit,BR010,3886685.72,25,656330.66,349234.3
ACC00000159,,Current,BR017,43640.01,25,61781.840000000004,574660.51
ACC00000160,,Savings,BR016,408320.71,25,253662.69,611606.68
ACC00000161,Varsha Bhavsar,Current,BR009,1306605.22,25,117599.14,281897.71
ACC00000162,,Savings,BR001,69963.9,25,494121.22,425382.10000000003
ACC00000163,,Fixed Deposit,BR005,2214168.46,10,35720.35,294841.97
ACC00000164,,Savings,BR014,228363.47,25,84214.29,315871.61
ACC00000165,Omkaar Basak,Current,BR015,1334610.83,25,161010.39,532434.76
ACC00000166,Omkaar Basak,Current,BR005,1158454.29,25,206334.57,294387.76
ACC00000167,Omkaar Basak,Current,BR014,185583.77,50,641860.38,891291.98
ACC00000168,Aarush Dani,Current,BR001,1505375.19,25,219136.47999999998,506486.54000000004
ACC00000169,,Savings,BR015,479562.06,10,46121.87,180099.61
ACC00000170,Abha Barman,Current,BR011,368159.22,50,785429.59,786036.0599999999
ACC00000171,Abha Barman,Current,BR003,730217.76,25,160224.53999999998,553284.3
ACC00000172,Abha Barman,Fixed Deposit,BR020,1103115.67,10,128298.09000000001,194917.51
ACC00000173,,Savings,BR009,265167.53,25,116552.59999999999,467990.13
ACC00000174,Warjas Comar,Savings,BR004,205360.21,10,20624.53,209722.34
ACC00000175,Warjas Comar,Savings,BR002,266111.92,50,601036.05,726937.49
ACC00000176,Warjas Comar,Fixed Deposit,BR004,3624964.63,10,163547.72999999998,218912.12
ACC00000177,Falak Amble,Fixed Deposit,BR017,1463873.81,50,546020.91,1148106.67
ACC00000178,Falak Amble,Current,BR010,1245263.09,10,65455.78,131269.56
ACC00000179,Upma Sarraf,Current,BR012,1019974.1,25,337940.63,366394.95
ACC00000180,Ubika Dora,Current,BR014,1989959.04,25,127304.51999999999,419688.96
ACC00000181,Ubika Dora,Fixed Deposit,BR019,1702515.87,10,118499.94,222878.02
ACC00000182,,Fixed Deposit,BR004,2701477.4,25,5537.52,390381.77
ACC00000183,Ojas Memon,Savings,BR013,478723.38,10,181528.38999999998,197704.7
ACC00000184,,Savings,BR016,287787.6,25,208099.69,521914.12
ACC00000185,Alka Bhavsar,Current,BR008,385401.92,10,100015.37999999999,206914.88
ACC00000186,Nirja Sachdeva,Fixed Deposit,BR005,3166172.5,50,631375.8099999999,820591.61
ACC00000187,,Fixed Deposit,BR006,2844380.23,10,235074.16,130659.0
ACC00000188,Shaurya Mital,Savings,BR018,52807.89,25,337304.2,393283.42
ACC00000189,Shaurya Mital,Fixed Deposit,BR014,2348655.37,50,688448.52,726639.01
ACC00000190,,Current,BR015,1213592.01,10,44241.78,289585.43
ACC00000191,,Fixed Deposit,BR005,938503.1,10,240178.37,99734.92
ACC00000193,,Fixed Deposit,BR009,2841983.16,25,216013.61,460062.72
ACC00000194,Ubika Gupta,Current,BR018,385543.43,25,200743.47999999998,631572.6799999999
ACC00000195,Ubika Gupta,Fixed Deposit,BR006,4561712.7,50,284534.66,938313.98
ACC00000196,Ubika Gupta,Fixed Deposit,BR016,4946596.5,50,793217.8099999999,749024.92
ACC00000197,Reyansh Gupta,Fixed Deposit,BR001,3159244.26,25,531129.53,282515.62
ACC00000198,,Fixed Deposit,BR002,4752689.25,50,248003.92,740845.01
ACC00000199,,Current,BR010,325205.67,50,109833.14,1088075.01
ACC00000200,Aradhana Mallick,Savings,BR011,103268.32,10,104752.98000000001,195580.51
ACC00000201,,Fixed Deposit,BR011,3442031.7,10,154228.41999999998,191868.77
ACC00000202,Rishi Kant,Fixed Deposit,BR013,1509050.78,25,557685.1,288242.69
ACC00000203,Rishi Kant,Savings,BR007,493556.94,50,442521.17000000004,1052380.02
ACC00000204,Faras Bath,Fixed Deposit,BR005,1098271.19,25,331620.01,309163.26
ACC00000205,Faras Bath,Fixed Deposit,BR005,3822798.02,25,118387.27,436415.51
ACC00000206,,Fixed Deposit,BR019,1014723.64,25,312772.89999999997,490027.04000000004
ACC00000207,,Current,BR013,726919.78,25,112135.2,472349.08999999997
ACC00000208,Kai Bains,Current,BR016,995731.96,25,211926.74000000002,248412.14
ACC00000209,Kai Bains,Savings,BR017,314564.62,25,90041.12,467813.82
ACC00000210,,Fixed Deposit,BR013,2546340.14,25,402684.93000000005,470651.62
ACC00000211,Zashil Kala,Current,BR008,1051111.27,25,327371.71,445161.07
ACC00000212,,Savings,BR014,78481.51,50,642361.55,872047.89
ACC00000213,,Current,BR019,94722.13,50,560154.66,1013265.77
ACC00000214,Praneel Madan,Savings,BR019,142168.66,10,134184.06,151423.37
ACC00000215,Ojasvi Mani,Current,BR007,476916.55,10,50311.229999999996,170398.2
ACC00000216,Ojasvi Mani,Current,BR017,872492.63,50,352955.17,963947.27
ACC00000217,,Current,BR011,707207.71,25,171351.47999999998,540674.36
ACC00000218,,Current,BR008,1529702.26,25,194959.84,395641.39
ACC00000219,,Current,BR018,1506216.15,10,49887.68,338292.52
ACC00000220,,Fixed Deposit,BR018,1964253.94,50,561955.76,687632.76
ACC00000221,,Current,BR018,218276.39,50,275110.63,1173102.71
ACC00000222,Adweta Dayal,Fixed Deposit,BR007,4002074.95,10,26612.01,213477.81
ACC00000223,Chatresh Shere,Savings,BR017,188143.02,25,265662.08,626778.97
ACC00000224,Chatresh Shere,Current,BR001,1889061.09,50,881123.3,620630.1
ACC00000225,,Current,BR015,648727.57,25,377157.18,353694.58999999997
ACC00000226,,Savings,BR007,297672.03,50,402163.19,762965.87
ACC00000227,Aarnav Saran,Current,BR006,31319.75,50,781487.75,655249.37
ACC00000228,,Fixed Deposit,BR003,2152325.82,10,262772.51,321070.34
ACC00000229,Ishanvi Dewan,Fixed Deposit,BR001,4540750.62,50,488588.0,794882.04
ACC00000230,Jeevika Deep,Current,BR006,1639373.67,50,551551.25,905332.0499999999
ACC00000231,Jeevika Deep,Savings,BR013,445175.86,50,274335.59,978205.11
ACC00000232,Pooja Mane,Savings,BR020,147047.87,25,123840.56,330554.3
ACC00000233,Pooja Mane,Fixed Deposit,BR012,4331974.82,10,11260.39,250197.84
ACC00000234,Yashvi Dara,Savings,BR009,495116.63,25,136642.13,412955.53
ACC00000235,Yashvi Dara,Savings,BR011,86692.75,25,329604.97,480302.3
ACC00000236,Yashvi Dara,Savings,BR015,356917.6,50,288478.69,936710.72
ACC00000237,Amaira Bhatnagar,Fixed Deposit,BR015,4526805.67,25,42667.59,835856.53
ACC00000238,Mahika Patla,Fixed Deposit,BR005,2014409.64,10,7816.17,166182.03
ACC00000240,,Current,BR013,70021.82,10,45678.28,65701.17000000001
ACC00000241,,Savings,BR019,361367.64,10,111937.35,74372.05
ACC00000242,,Savings,BR009,73694.36,10,116710.76999999999,75354.09999999999
ACC00000245,,Savings,BR012,364952.61,25,219971.37,388406.43
ACC00000246,,Fixed Deposit,BR017,2701464.57,25,10074.75,428981.42
ACC00000247,,Savings,BR008,415830.57,50,635914.81,1017168.51
ACC00000248,Alka Kari,Savings,BR004,197190.62,50,648704.35,839529.56
ACC00000249,Alka Kari,Fixed Deposit,BR013,1640600.15,25,373252.32,297788.93
ACC00000250,Alka Kari,Savings,BR013,229595.36,50,672166.22,617775.53
ACC00000251,Warhi Dube,Fixed Deposit,BR011,2902720.22,50,487395.4,1041470.98
ACC00000253,,Fixed Deposit,BR005,4625491.01,25,377223.94,644254.14
ACC00000254,Charles Bail,Savings,BR007,70149.64,10,125848.17,229302.15
ACC00000256,Lipika Bhagat,Savings,BR011,190068.32,25,322288.71,303812.82
ACC00000257,Lipika Bhagat,Fixed Deposit,BR013,1360233.95,25,263095.46,488900.85
ACC00000258,,Savings,BR011,207194.33,25,107949.81,324949.99
ACC00000259,,Savings,BR003,492711.26,25,315990.06,383552.33999999997
ACC00000260,,Current,BR004,1666815.32,50,453354.85,857362.3
ACC00000261,,Savings,BR005,23063.47,10,49277.12,103898.67
ACC00000262,,Current,BR011,1919152.45,10,13112.66,272497.27
ACC00000263,Ayush Karpe,Savings,BR007,482856.64,50,336100.74,812023.92
ACC00000264,,Savings,BR018,454231.36,50,843914.53,529740.9
ACC00000265,Wakeeta Pau,Fixed Deposit,BR012,3956975.96,50,457188.11,1054830.71
ACC00000266,Jeevika Garg,Current,BR015,1601966.18,25,381658.08,408421.17
ACC00000267,Jeevika Garg,Savings,BR008,249841.69,25,358661.02,333111.03
ACC00000268,,Fixed Deposit,BR020,1261283.84,25,549279.88,318027.61
ACC00000269,,Savings,BR004,420835.83,25,207212.9,366537.85
ACC00000270,Laksh Bassi,Fixed Deposit,BR015,3392059.8,25,259276.52,610685.78
ACC00000271,Dominic Upadhyay,Current,BR016,1640519.13,25,583973.01,292673.04
ACC00000272,Falak Dani,Fixed Deposit,BR012,885574.02,25,169242.15,611425.34
ACC00000273,Libni Muni,Savings,BR020,130666.48,25,101654.02,471410.38
ACC00000274,Xavier Kala,Current,BR020,1294079.71,25,198067.87,337075.88
ACC00000275,Xavier Kala,Current,BR011,1266187.09,25,347843.46,368418.31
ACC00000276,Lila Panchal,Savings,BR002,70725.95,25,133277.18000000002,394095.83999999997
ACC00000277,Lila Panchal,Fixed Deposit,BR020,4219984.68,10,13593.54,192403.45
ACC00000278,Anthony Puri,Savings,BR009,170849.04,50,373146.64999999997,480708.17000000004
ACC00000279,,Fixed Deposit,BR006,104920.73,50,537076.72,870711.16
ACC00000280,,Current,BR012,1747571.89,25,470487.22,494703.5
ACC00000281,,Savings,BR019,83403.44,25,310118.99,390069.45
ACC00000282,,Current,BR014,1618130.49,50,581300.69,1133875.82
ACC00000283,,Savings,BR004,426466.33,10,152622.77,167649.28
ACC00000284,Charvi Sinha,Current,BR011,877284.42,25,439527.18,506496.71
ACC00000285,,Fixed Deposit,BR014,4069786.87,10,80314.73000000001,246097.51
ACC00000287,Harshil Baral,Current,BR016,29381.91,10,7834.66,160700.9
ACC00000288,Garima Majumdar,Savings,BR012,114602.2,50,565288.76,663323.88
ACC00000289,Garima Majumdar,Fixed Deposit,BR011,989475.24,50,750439.74,843886.46
ACC00000290,Sara Shetty,Savings,BR007,353276.85,10,228843.24,104014.47
ACC00000291,Sara Shetty,Current,BR003,742682.11,10,45601.94,155003.51
ACC00000292,Lajita Madan,Fixed Deposit,BR001,684926.5,25,441273.62,296474.79
ACC00000293,Elijah Kurian,Fixed Deposit,BR005,397542.74,50,402909.55,1145120.82
ACC00000294,Tanvi Bose,Fixed Deposit,BR011,1762356.24,10,40073.38,205181.18
ACC00000295,Chanakya Palla,Savings,BR016,81900.65,10,70592.87000000001,115323.22
ACC00000296,,Fixed Deposit,BR017,273700.77,50,391090.24,1091694.81
ACC00000297,Nikita Talwar,Current,BR011,582856.13,10,13547.619999999999,120871.34999999999
ACC00000298,Devika Chandran,Current,BR008,1548361.03,50,326125.89,945253.39
ACC00000299,Devika Chandran,Current,BR011,1351374.93,25,178434.23,341499.58999999997
ACC00000300,Bimala Kapoor,Fixed Deposit,BR016,1607198.59,50,647989.38,833561.51
ACC00000301,Kevin Dara,Fixed Deposit,BR011,2404549.46,25,275974.48000000004,379982.78
ACC00000302,Jagat Nigam,Current,BR003,1732170.56,50,319428.55,894309.59
ACC00000304,Yochana Dewan,Fixed Deposit,BR014,2612703.39,10,329349.63,166647.05
ACC00000305,,Fixed Deposit,BR015,2722009.99,25,239402.82,407643.74
ACC00000306,,Fixed Deposit,BR017,4073575.38,25,288719.71,295270.69
ACC00000308,Joshua Mistry,Fixed Deposit,BR005,4884159.48,25,314094.89,370026.58
ACC00000309,Joshua Mistry,Current,BR016,703615.34,10,137539.69,207212.23
ACC00000310,Udyati Walia,Fixed Deposit,BR011,1546635.56,10,86406.25,239193.58000000002
ACC00000311,Yutika Patla,Current,BR015,1100175.66,10,227967.81,77130.07
ACC00000312,Yutika Patla,Fixed Deposit,BR010,4008876.91,50,690313.8099999999,713515.27
ACC00000314,Manthan Tak,Savings,BR013,346622.35,25,135506.36000000002,405580.74000000005
ACC00000315,,Fixed Deposit,BR010,2954923.6,25,355513.23000000004,395565.75
ACC00000317,Baghyawati Mukherjee,Savings,BR012,432420.43,25,558420.99,293732.92
ACC00000318,Baghyawati Mukherjee,Fixed Deposit,BR001,2044488.36,10,160373.8,125373.69
ACC00000319,Inaya Thakur,Fixed Deposit,BR019,2686710.58,25,159387.53999999998,330217.1
ACC00000320,Inaya Thakur,Current,BR005,819615.48,50,666063.0900000001,810780.69
ACC00000321,Inaya Thakur,Savings,BR004,233750.35,10,187476.47,64004.9
ACC00000322,Qushi Sachdev,Current,BR016,1759005.84,10,104693.65999999999,154697.66999999998
ACC00000323,Qushi Sachdev,Savings,BR008,257516.77,25,283393.10000000003,338673.79
ACC00000324,Yutika Deo,Fixed Deposit,BR020,3000168.68,25,141114.47999999998,469591.94
ACC00000325,Yutika Deo,Savings,BR018,428164.82,25,181053.97999999998,394057.32
ACC00000326,Tejas Sridhar,Current,BR009,1554471.08,25,175056.44,396299.28
ACC00000327,Tejas Sridhar,Current,BR009,1517994.51,25,269132.5,429963.12
ACC00000329,Lila Chaudhry,Fixed Deposit,BR018,1747955.93,25,225324.9,485472.81
ACC00000330,Lila Chaudhry,Current,BR007,459394.69,50,798804.08,638628.15
ACC00000331,Advik Peri,Savings,BR007,115625.61,10,528.68,376495.98000000004
ACC00000332,,Current,BR004,1927517.6,25,138777.35,367976.86
ACC00000333,Mohini Zachariah,Current,BR018,210602.56,25,272771.69,290133.49
ACC00000334,Mohini Zachariah,Fixed Deposit,BR001,207707.75,50,470936.08,729394.1
ACC00000335,Oscar Ganguly,Savings,BR020,167558.8,25,822279.91,316058.3
ACC00000337,Kavya Bhargava,Fixed Deposit,BR007,2062507.7,25,268934.46,383847.52
ACC00000338,Chatresh Singh,Fixed Deposit,BR009,498802.15,50,283808.37,999459.05
ACC00000339,Mekhala Bose,Fixed Deposit,BR019,780233.32,50,811373.51,579281.97
ACC00000340,Mekhala Bose,Savings,BR019,149565.0,25,98748.56,554948.73
ACC00000341,Kashish Bala,Current,BR009,1680624.94,50,371493.57,949439.14
ACC00000342,Kashish Bala,Savings,BR009,253799.45,50,351726.37,945319.68
ACC00000343,Samuel Majumdar,Savings,BR017,348078.12,50,647663.81,781071.07
ACC00000344,Samuel Majumdar,Fixed Deposit,BR003,1654694.76,25,549581.84,386961.75
ACC00000345,Anvi Deshmukh,Fixed Deposit,BR004,4593869.47,50,329038.38,612354.17
ACC00000346,Anvi Deshmukh,Current,BR003,1995793.33,50,807270.39,651403.24
ACC00000347,Chasmum Ratti,Fixed Deposit,BR011,2965447.14,50,948495.54,814832.55
ACC00000348,Bina Lal,Current,BR019,487251.5,10,81288.09,105200.3
ACC00000349,Bina Lal,Fixed Deposit,BR013,3831829.16,50,531176.97,561243.59
ACC00000351,Manbir Singhal,Fixed Deposit,BR004,2297120.95,25,72330.94,503208.15
ACC00000352,,Fixed Deposit,BR002,816094.07,10,11073.89,143883.41
ACC00000353,,Fixed Deposit,BR009,4964680.45,50,412254.58,1048979.59
ACC00000354,,Savings,BR009,36679.39,10,28025.73,245329.64
ACC00000355,Abha Contractor,Fixed Deposit,BR020,663414.79,10,63105.45,150609.38
ACC00000356,Ethan Munshi,Fixed Deposit,BR002,4316144.88,50,761941.55,583820.26
ACC00000357,Ethan Munshi,Savings,BR018,101487.65,25,272230.93,589041.68
ACC00000358,Aryan Modi,Current,BR012,1737133.88,50,600268.13,600192.84
ACC00000359,,Current,BR013,996177.17,50,750321.9400000001,671531.92
ACC00000360,,Current,BR016,1573737.08,25,202980.37,498704.33999999997
ACC00000361,,Current,BR005,1173997.62,25,248317.03,377133.32
ACC00000363,Adya Kothari,Current,BR006,272803.96,50,535584.89,848426.09
ACC00000364,Adya Kothari,Current,BR003,99291.25,10,182588.63,162555.31
ACC00000365,,Fixed Deposit,BR009,283486.98,25,140811.12,286727.04000000004
ACC00000366,,Savings,BR007,255151.33,25,182935.01,310247.47
ACC00000367,Vasatika Master,Savings,BR015,430229.47,25,168888.32,317741.59
ACC00000368,Oviya Dhingra,Fixed Deposit,BR019,4952872.04,25,333145.77,382580.37
ACC00000369,,Current,BR011,261182.94,50,594939.58,595808.75
